Income (Median family income) for California by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3139 counties)
"United States",00000,"96,922","N/A"
"California",06000,"110,108","12 of 52"
"Modoc County",06049,"62,857","2,728"
"Imperial County",06025,"64,569","2,641"
"Tulare County",06107,"71,096","2,285"
"Siskiyou County",06093,"71,583","2,238"
"Merced County",06047,"73,010","2,136"
"Sierra County",06091,"73,529","2,102"
"Trinity County",06105,"73,582","2,100"
"Kings County",06031,"74,578","2,018"
"Kern County",06029,"75,186","1,976"
"Tehama County",06103,"77,022","1,829"
"Lassen County",06035,"78,028","1,744"
"Lake County",06033,"80,539","1,561"
"Fresno County",06019,"81,068","1,520"
"Glenn County",06021,"81,208","1,513"
"Mendocino County",06045,"81,500","1,492"
"Madera County",06039,"82,186","1,436"
"Mariposa County",06043,"82,228","1,430"
"Yuba County",06115,"82,918","1,373"
"Humboldt County",06023,"83,309","1,340"
"Del Norte County",06015,"84,188","1,278"
"Plumas County",06063,"88,167","1,015"
"Sutter County",06101,"88,263","1,005"
"Stanislaus County",06099,"89,051","959"
"Colusa County",06011,"89,214","944"
"San Bernardino County",06071,"89,923","909"
"Inyo County",06027,"89,948","908"
"Butte County",06007,"90,047","903"
"Shasta County",06089,"91,000","857"
"Calaveras County",06009,"93,976","719"
"Tuolumne County",06109,"94,005","716"
"Los Angeles County",06037,"98,839","503"
"San Joaquin County",06077,"98,914","499"
"Riverside County",06065,"100,461","460"
"Monterey County",06053,"100,520","458"
"Amador County",06005,"101,722","426"
"Sacramento County",06067,"103,270","379"
"Nevada County",06057,"106,554","314"
"Santa Barbara County",06083,"108,953","274"
"Mono County",06051,"109,698","266"
"Solano County",06095,"113,873","213"
"San Luis Obispo County",06079,"116,900","188"
"Yolo County",06113,"118,018","180"
"San Diego County",06073,"118,115","178"
"San Benito County",06069,"118,578","172"
"Alpine County",06003,"119,659","160"
"Ventura County",06111,"122,868","141"
"Sonoma County",06097,"124,032","133"
"Orange County",06059,"128,689","98"
"El Dorado County",06017,"128,943","96"
"Napa County",06055,"129,463","93"
"Santa Cruz County",06087,"131,966","80"
"Placer County",06061,"137,395","61"
"Contra Costa County",06013,"146,002","39"
"Alameda County",06001,"155,116","23"
"San Francisco County",06075,"165,603","15"
"Santa Clara County",06085,"182,053","6"
"San Mateo County",06081,"184,583","5"
"Marin County",06041,"190,681","4"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 5/11/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median family income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
